id,ec_number
380,2.3.1.85
381,2.2.1.4
382,2.3.1.230
383,2.3.1.182
384,2.3.1.51
385,2.3.1.56
386,2.3.1.36
387,2.3.1.188
388,2.3.1.216
389,2.3.1.59
390,2.3.1.248
391,2.3.1.71
392,2.2.1.6
393,2.3.1.160
394,2.3.1.189
395,2.3.1.310
396,2.2.1.13
397,2.3.1.30
398,2.3.1.20
399,2.3.1.92
400,2.3.1.74
401,2.3.1.22
402,2.3.1.65
403,2.3.1.143
404,2.3.1.79
405,2.3.1.2
406,2.3.1.152
407,2.3.1.41
408,2.3.1.208
409,2.3.1.46
410,2.3.1.171
411,2.3.1.103
412,2.3.1.99
413,2.3.1.303
414,2.3.2.4
415,2.3.1.77
416,2.3.1.174
417,2.2.1.9
418,2.3.1.183
419,2.3.2.13
420,2.3.1.226
421,2.3.1.177
422,2.2.1.15
423,2.3.1.214
424,2.3.1.168
425,2.3.1.73
426,2.3.1.106
427,2.3.1.172
428,2.3.1.68
429,2.3.1.169
430,2.3.1.43
431,2.3.1.21
432,2.3.1.164
433,2.3.1.245
434,2.3.1.176
435,2.3.1.219
436,2.2.1.12
437,2.3.1.281
438,2.3.1.9
439,2.3.2.15
440,2.3.1.170
441,2.3.1.90
442,2.2.1.7
443,2.3.1.158
444,2.3.1.27
445,2.3.1.123
446,2.3.1.140
447,2.3.1.62
448,2.3.1.220
449,2.3.1.131
450,2.3.1.173
451,2.3.1.139
452,2.3.1.154
453,2.3.1.53
454,2.3.1.28
455,2.3.1.126
456,2.3.1.190
457,2.3.1.195
458,2.3.1.35
459,2.3.1.61
460,2.3.1.271
461,2.3.1.155
462,2.3.1.161
463,2.3.1.233
464,2.3.1.135
465,2.3.1.153
466,2.2.1.8
467,2.3.1.197
468,2.3.1.205
469,2.3.1.10
470,2.3.1.95
471,2.3.1.227
472,2.3.1.282
473,2.3.1.64
474,2.3.1.133
475,2.3.1.257
476,2.3.1.289
477,2.3.1.162
478,2.3.1.130
479,2.3.1.98
480,2.3.1.306
481,2.3.1.150
482,2.3.1.186
483,2.3.1.109
484,2.3.1.107
485,2.3.1.185
486,2.3.1.178
487,2.3.1.275
488,2.3.1.228
489,2.3.1.159
490,2.3.1.117
491,2.3.1.272
492,2.3.1.268
493,2.3.1.18
494,2.3.1.4
495,2.3.1.238
496,2.3.1.198
497,2.3.1.37
498,2.3.1.187
499,2.3.1.192
500,2.3.1.163
501,2.3.1.246
502,2.3.1.175
503,2.3.1.114
